[2025-07-15 16:51:56] [INFO    ] discord.client: logging in using static token
[2025-07-15 16:51:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Nag Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1394564714561929246', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3438', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '84a7055ec393c446e2ec00c55a3c30b3', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '727863501627850793'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'hongkong', 'tel-aviv'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1394564714561929246', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-v27m",{"micros":107612,"calls":["id_created",{"micros":511,"calls":[]},"session_lookup_time",{"micros":587,"calls":[]},"session_lookup_finished",{"micros":19,"calls":[]},"discord-sessions-prd-2-118",{"micros":106147,"calls":["start_session",{"micros":76710,"calls":["discord-api-rpc-859bdf98c5-xtkj7",{"micros":45556,"calls":["get_user",{"micros":12123},"get_guilds",{"micros":2611},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":5211},"apex_experiments",{"micros":1110},"user_activities",{"micros":3},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":22,"calls":[]},"presence_started",{"micros":8938,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":20371,"calls":[]},"connect_finished",{"micros":20375,"calls":[]},"build_ready",{"micros":27,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-07-15 16:51:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-15 16:51:58] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 84a7055ec393c446e2ec00c55a3c30b3).
[2025-07-15 16:51:58] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-15 16:51:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'public_updates_channel_id': None, 'default_message_notifications': 0, 'verification_level': 0, 'unavailable': False, 'soundboard_sounds': [], 'icon': None, 'system_channel_flags': 0, 'owner_configured_content_level': None, 'hub_type': None, 'profile': None, 'activity_instances': [], 'inventory_settings': None, 'explicit_content_filter': 0, 'id': '727863501627850793', 'presences': [{'user': {'id': '431544605209788416'}, 'status': 'online', 'processed_at_timestamp': 0, 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': 'tul!help | tupperbox.app', 'name': 'tupperbox.app', 'id': 'ec0b28a579ecb4bd', 'created_at': 1751480459848}]}, {'user': {'id': '439205512425504771'}, 'status': 'online', 'processed_at_timestamp': 0, 'client_status': {'mobile': 'online'}, 'activities': [{'type': 3, 'name': 'for .', 'id': 'ec0b28a579ecb4bd', 'created_at': 1752577586751}]}, {'user': {'id': '646937666251915264'}, 'status': 'online', 'processed_at_timestamp': 0, 'client_status': {'web': 'online'}, 'activities': []}, {'user': {'id': '1090660574196674713'}, 'status': 'online', 'processed_at_timestamp': 0, 'client_status': {'web': 'online'}, 'activities': []}, {'user': {'id': '1394564714561929246'}, 'status': 'online', 'processed_at_timestamp': 0, 'client_status': {'web': 'online'}, 'activities': []}], 'name': 'Dash Board', 'max_video_channel_users': 25, 'stickers': [], 'banner': None, 'owner_id': '723428018692816938', 'threads': [], 'preferred_locale': 'en-US', 'premium_subscription_count': 0, 'premium_progress_bar_enabled': False, 'splash': None, 'channels': [{'version': 1722251260925, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'MISC', 'id': '727863501627850794', 'flags': 0}, {'version': 1717055086304, 'type': 4, 'position': 4, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '727863502101807154', 'flags': 0}, {'version': 1739865075754, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '727863501627850794', 'name': 'servers', 'last_message_id': '1394575467931111434', 'id': '727863502101807155', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '727863502101807154', 'name': 'General', 'last_message_id': None, 'id': '727863502101807156', 'flags': 0, 'bitrate': 64000}, {'version': 1739865075763, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '727863501627850794', 'name': 'movie-links', 'last_message_id': '1243754879541837854', 'id': '1243754406718214187', 'flags': 0}, {'version': 1716612866637, 'type': 4, 'position': 2, 'permission_overwrites': [], 'name': 'outreach', 'id': '1243784996880388136', 'flags': 0}, {'version': 1739865075840, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '1243784996880388136', 'name': 'castform', 'last_message_id': '1344185455213805589', 'id': '1243785013208547341', 'flags': 0}, {'version': 1722251260939, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'copywriting', 'id': '1243789238353268746', 'flags': 0}, {'version': 1739865075788, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1243789238353268746', 'name': 'selling-myself', 'last_message_id': '1285220499403837481', 'id': '1243789279927205948', 'flags': 0}, {'version': 1739865075858, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '1243784996880388136', 'name': 'vidmedia', 'last_message_id': '1246000735058006077', 'id': '1244864530329112627', 'flags': 0}, {'version': 1717055086282, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Bots', 'id': '1245644043808149566', 'flags': 0}, {'version': 1739865075880, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'parent_id': '1245644043808149566', 'name': 'tupper', 'last_message_id': '1345289137175003167', 'id': '1245644267733516288', 'flags': 0}, {'version': 1739865075770, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '727863501627850794', 'name': 'laptops', 'last_message_id': '1261025640661123165', 'id': '1261025627348140142', 'flags': 0}, {'version': 1739865075779, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '727863501627850794', 'name': 'editing', 'last_message_id': '1305124692201439274', 'id': '1305050349429723187', 'flags': 0}, {'version': 1739865075801, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '1243789238353268746', 'name': 'enclave-tweets', 'last_message_id': '1339160378109853737', 'id': '1339109741661782098', 'flags': 0}, {'version': 1739865075813, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [], 'parent_id': '1243789238353268746', 'name': 'enclave-free-use', 'last_message_id': '1339489296314269699', 'id': '1339140417144492032', 'flags': 0}, {'version': 1739865075732, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'name': 'scratchpad', 'last_message_id': '1392832221358063697', 'id': '1341316074087518208', 'flags': 0}, {'version': 1740649876444, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 11, 'permission_overwrites': [], 'parent_id': '1245644043808149566', 'name': 'faceswap', 'last_message_id': '1344869326225932308', 'id': '1344607780358586448', 'flags': 0}, {'version': 1740810756498, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 12, 'permission_overwrites': [], 'parent_id': '727863501627850794', 'name': 'crypto-answers', 'last_message_id': '1346069837381898363', 'id': '1345282560212733983', 'flags': 0}], 'member_count': 6, 'description': None, 'moderator_reporting': None, 'vanity_url_code': None, 'mfa_level': 0, 'large': False, 'nsfw': False, 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'embedded_activities': [], 'members': [{'user': {'username': 'Tupperbox', 'public_flags': 65536, 'primary_guild': None, 'id': '431544605209788416', 'global_name': None, 'display_name': None, 'discriminator': '4754', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3ba09fa76b4688a5e2273c56a4d8856c'}, 'roles': ['1245645105260658700'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-30T07:48:56.085000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'NotSoBot', 'public_flags': 65536, 'primary_guild': None, 'id': '439205512425504771', 'global_name': None, 'display_name': None, 'discriminator': '9555', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a_88118de015213963d91a1cfeadb3390a'}, 'roles': ['1305050298431045678'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-11-10T06:03:57.894000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Karuta', 'public_flags': 65536, 'primary_guild': None, 'id': '646937666251915264', 'global_name': None, 'display_name': None, 'discriminator': '1280', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '0e54d87446f106d1fd58385295ae9deb'}, 'roles': ['1337095973603770503'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-02-06T16:22:02.209000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'aarav_kataria', 'public_flags': 64, 'primary_guild': {'tag': 'SCKT', 'identity_guild_id': '1209635308619042816', 'identity_enabled': True, 'badge': '878c62b6694a4f5931104f766191bec7'}, 'id': '723428018692816938', 'global_name': 'Aarav', 'display_name': 'Aarav', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd898db4cc54e69e2f2194278e4c0206f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-07-01T12:29:41.902000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'InsightFaceSwap', 'public_flags': 65536, 'primary_guild': None, 'id': '1090660574196674713', 'global_name': None, 'display_name': None, 'discriminator': '5692', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '8bfdb06ca4fb208ef7af8c8ac1be93db'}, 'roles': ['1344607719855886359'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-02-27T09:51:02.092000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Nag Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1394564714561929246', 'global_name': None, 'display_name': None, 'discriminator': '3438', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1394575466517626934'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-15T07:05:01.267946+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'latest_onboarding_question_id': None, 'discovery_splash': None, 'region': 'deprecated', 'stage_instances': [], 'features': [], 'joined_at': '2025-07-15T07:05:01.267946+00:00', 'premium_tier': 0, 'safety_alerts_channel_id': None, 'lazy': True, 'rules_channel_id': None, 'incidents_data': None, 'max_members': 500000, 'system_channel_id': '727863502101807155', 'application_id': None, 'afk_channel_id': None, 'emojis': [], 'application_command_counts': {}, 'voice_states': [], 'premium_features': None, 'nsfw_level': 0, 'version': 1740810754207, 'afk_timeout': 300, 'home_header': None, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '727863501627850793', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1717055336076, 'unicode_emoji': None, 'tags': {'bot_id': '431544605209788416'}, 'position': 1, 'permissions': '1125900443839552', 'name': 'Tupperbox', 'mentionable': False, 'managed': True, 'id': '1245645105260658700', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1731218637886, 'unicode_emoji': None, 'tags': {'bot_id': '439205512425504771'}, 'position': 1, 'permissions': '1513941757175', 'name': 'NotSoBot', 'mentionable': False, 'managed': True, 'id': '1305050298431045678', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1738858922183, 'unicode_emoji': None, 'tags': {'bot_id': '646937666251915264'}, 'position': 1, 'permissions': '379969', 'name': 'Karuta', 'mentionable': False, 'managed': True, 'id': '1337095973603770503', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1740649862077, 'unicode_emoji': None, 'tags': {'bot_id': '1090660574196674713'}, 'position': 1, 'permissions': '274877945856', 'name': 'InsightFace', 'mentionable': False, 'managed': True, 'id': '1344607719855886359', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752563101252, 'unicode_emoji': None, 'tags': {'bot_id': '1394564714561929246'}, 'position': 1, 'permissions': '8', 'name': 'Nag Bot', 'mentionable': False, 'managed': True, 'id': '1394575466517626934', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}]}}
[2025-07-15 16:51:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-15 16:51:58] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-15 16:52:00] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-15 16:52:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 3, 'op': 0, 'd': {'user': {'username': 'aarav_kataria', 'public_flags': 64, 'primary_guild': {'tag': 'SCKT', 'identity_guild_id': '1209635308619042816', 'identity_enabled': True, 'badge': '878c62b6694a4f5931104f766191bec7'}, 'id': '723428018692816938', 'global_name': 'Aarav', 'discriminator': '0', 'clan': {'tag': 'SCKT', 'identity_guild_id': '1209635308619042816', 'identity_enabled': True, 'badge': '878c62b6694a4f5931104f766191bec7'}, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd898db4cc54e69e2f2194278e4c0206f'}, 'status': 'dnd', 'processed_at_timestamp': 1752578525775, 'guild_id': '727863501627850793', 'client_status': {'web': 'dnd'}, 'activities': []}}
[2025-07-15 16:52:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-15 16:52:05] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-07-15 16:52:06] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels with {"recipient_id":723428018692816938} has returned 200
[2025-07-15 16:52:06] [DEBUG   ] discord.http: POST /users/@me/channels has found its initial rate limit bucket hash (3f1ecb90c49938368145d0f8794b2707).
[2025-07-15 16:52:06] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels has received {'id': '1394638056828436491', 'type': 1, 'last_message_id': '1394638524568961067', 'flags': 0, 'recipients': [{'id': '723428018692816938', 'username': 'aarav_kataria', 'avatar': 'd898db4cc54e69e2f2194278e4c0206f', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'Aarav', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '1209635308619042816', 'identity_enabled': True, 'tag': 'SCKT', 'badge': '878c62b6694a4f5931104f766191bec7'}, 'primary_guild': {'identity_guild_id': '1209635308619042816', 'identity_enabled': True, 'tag': 'SCKT', 'badge': '878c62b6694a4f5931104f766191bec7'}}]}
[2025-07-15 16:52:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-15T11:22:06.587000+00:00', 'pinned': False, 'nonce': '3697933294567790614', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1394640165376626698', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '0 minutes have passed!', 'components': [], 'channel_type': 1, 'channel_id': '1394638056828436491', 'author': {'username': 'Nag Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1394564714561929246', 'global_name': None, 'display_name_styles': None, 'discriminator': '3438', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': []}}
[2025-07-15 16:52:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-15 16:52:06] [DEBUG   ] discord.client: Dispatching event message
[2025-07-15 16:52:06] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1394638056828436491/messages with {"content":"0 minutes have passed!","components":[],"nonce":"3697933294567790614","enforce_nonce":true,"tts":false} has returned 200
[2025-07-15 16:52:06] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-07-15 16:52:06] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1394638056828436491/messages has received {'type': 0, 'content': '0 minutes have passed!', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-15T11:22:06.587000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1394640165376626698', 'channel_id': '1394638056828436491', 'author': {'id': '1394564714561929246', 'username': 'Nag Bot', 'avatar': None, 'discriminator': '3438', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '3697933294567790614'}
[2025-07-15 16:52:39] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-07-15 16:52:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 16:53:20] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-07-15 16:53:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 16:54:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-07-15 16:54:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 16:54:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-07-15 16:54:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 16:55:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-07-15 16:55:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 16:56:05] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-07-15 16:56:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 16:56:46] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-07-15 16:56:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 16:57:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-15T11:27:06.219000+00:00', 'pinned': False, 'nonce': '10981571235889326958', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1394641422124056677', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '5 minutes have passed!', 'components': [], 'channel_type': 1, 'channel_id': '1394638056828436491', 'author': {'username': 'Nag Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1394564714561929246', 'global_name': None, 'display_name_styles': None, 'discriminator': '3438', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': []}}
[2025-07-15 16:57:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-15 16:57:06] [DEBUG   ] discord.client: Dispatching event message
[2025-07-15 16:57:06] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1394638056828436491/messages with {"content":"5 minutes have passed!","components":[],"nonce":"10981571235889326958","enforce_nonce":true,"tts":false} has returned 200
[2025-07-15 16:57:06] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1394638056828436491/messages has received {'type': 0, 'content': '5 minutes have passed!', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-15T11:27:06.219000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1394641422124056677', 'channel_id': '1394638056828436491', 'author': {'id': '1394564714561929246', 'username': 'Nag Bot', 'avatar': None, 'discriminator': '3438', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '10981571235889326958'}
[2025-07-15 16:57:28] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-07-15 16:57:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 16:58:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-07-15 16:58:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
